model,use_static_covariates,use_covariates,use_features,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,551.2039942992503,563.9267434142024,523.3520868908788,546.1609415347772,16.944024981988324,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,438.6721834652229,445.9781321584756,523.3583299927114,469.33621520546995,38.31567030290636,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,498.37103212203243,646.2337735578925,403.73518794252396,516.1133312074829,99.79139204357506,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,452.8627949291962,461.17384904727203,517.44524143586,477.1606284707761,28.68688360497822,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,482.6713824968762,710.7937934714702,642.4034268273635,611.9562009319033,95.58672770757202,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,609.0821550916286,489.4320419877135,592.741438072678,563.7518783840067,52.97378798142968,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,503.2913809350271,536.8843635464391,429.7589739952104,489.97823949222555,44.73546000607464,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,811.819391659725,672.0047316222408,654.8729226103707,712.8990152974455,70.29606610494443,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,505.8805012234487,650.7456844804249,589.548159230529,582.0581149781342,59.37763833967828,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,509.1515265774678,638.0806412692629,605.379808152853,584.2039919998612,54.72349005750938,False,
